"island_name","Amara.aulica_.Panzer.","Amara.communis_.Panzer.","Amara.familiaris_.Duftschmid.","Amara.lunicollis_Schi√.dte","Amara.ovata_.Fabricius.","Bembidion.tetracolum_Say","Calathus.fuscipes_.Goeze.","Calathus.melanocephalus_.L..","Carabus.problematicus_Herbst","Clivina.fossor_.L..","Cychrus.caraboides_.L..","Dyschirius.globosus_.Herbst.","Harpalus.latus_.L..","Loricera.pilicornis_.Fabricius.","Nebria.salina_Fairm.","Notiophilus.aquaticus_.L..","Notiophilus.biguttatus_.Fabricius.","Olistophus.rotundatus_.Paykull.","Patrobus.assimilis_Chaudoir","Patrobus.atrorufus_.Str√.m.","Pterostichus.diligens_.Sturm.","Pterostichus.melanarius_.Illigner.","Pterostichus.niger_.Schaller.","Pterostichus.nigrita_.Paykull.","Pterostichus.oblongopunctatus_.Fabricius.","Pterostichus.strenuus_.Panzer.","Pterostichus.versicolor_.Sturm.","Trechus.obtusus_Erichson","Trechus.secalis_.Paykull."
"island1",0,8,0,1,0,0,0,0,0,0,0,0,0,7,107,0,0,0,5,0,6,0,0,10,0,212,0,0,0
"island10",0,3,0,1,0,0,0,0,340,0,15,1,6,0,119,0,0,0,21,0,5,0,68,0,1,60,12,0,0
"island11",0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0
"island12",0,23,2,0,172,0,0,0,0,5,0,0,0,19,578,0,0,0,0,0,0,0,0,0,0,114,0,15,0
"island13",0,0,0,0,2,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,3,1,0,2,0,0,0
"island14",0,2,0,0,0,0,0,0,44,0,0,0,0,0,24,0,4,0,4,0,0,0,15,0,0,8,0,29,0
"island2",1,2,4,0,43,0,0,0,0,0,0,0,0,47,107,0,0,0,2,0,105,0,0,0,0,1,0,0,0
"island3",0,1,1,0,0,0,40,2,135,0,4,0,8,0,392,6,0,6,16,0,2,0,4,11,18,1,0,0,0
"island4",0,0,0,0,78,2,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0
"island5",0,0,0,0,4,0,0,0,12,0,0,0,0,0,59,5,0,0,0,0,16,0,1,0,0,407,0,0,0
"island6",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,106,0,0,0
"island7",0,15,0,9,0,0,0,11,62,0,0,1,1,0,319,0,0,5,122,13,11,6,24,2,0,63,0,0,126
"island8",0,3,0,3,0,0,0,0,142,0,0,0,8,0,112,0,0,0,85,0,23,0,1,0,0,46,0,0,1
"island9",1,10,0,3,0,0,0,0,0,0,0,0,0,0,93,0,0,0,16,0,71,0,0,4,0,172,0,0,0
