"island_name","P..canadensis","C..philodice","C..interior","P..oleracea","P..rapae","F..tarquinius","S..titus","S..liparops","S..calanus","C..lucia","C..neglecta","D..plexippus","L..arthemis.arthemis","S..cybele","V..virginiensis","V..cardui","V..atalanta","A..milberti","P..progne","P..gracilis","P..comma","P..cocyta","L..anthedon","M..cymela","E..icelus","C..palaemon","A..numitor","H..sassacus","T..lineola","P..peckius","P..themistocles","P..hobomok","E..dion","E..vestris"
"1146",2,0,2,9,0,0,0,0,0,6,9,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1152",0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1314",1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",0,0,0,0,11,0,0,0,1,1,2,0,1,1,0,0,11,0,8,0,4,1,13,1,0,1,0,0,0,0,0,0,0,0
"306",0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"451",0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"505",2,0,0,27,3,0,0,0,0,5,0,0,9,0,0,0,2,0,0,0,0,25,2,14,0,0,3,0,0,0,0,0,1,0
"537",0,0,0,4,3,0,5,0,2,0,2,0,1,0,1,0,9,0,3,1,0,6,0,1,0,3,0,0,0,0,0,0,0,1
"558",1,0,0,5,8,0,0,4,0,0,9,0,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"618",0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621",3,0,0,1,8,1,0,0,0,10,11,0,11,0,0,0,7,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
"642",0,0,0,52,14,0,0,0,2,0,16,0,4,3,0,0,42,0,2,0,0,0,5,15,0,4,2,1,0,0,0,6,0,0
"755",3,1,11,2,3,0,2,9,0,4,21,0,20,1,0,0,5,1,6,0,0,2,3,66,1,4,1,0,0,1,2,13,0,0
"802",0,0,0,1,13,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
