"island_name","Agonum.fuliginosum.Panzer..1809","A..micans.Nicolai..1822","A..piceum.L...1758","A..viduum.Panzer..1797","Amara.apricaria.Paykull..1790","A..aulica.Panzer..1797","A..brunnea.Gyllenhal..1810","A..communis.Panzer..1797","A..familiaris.Duftschmid..1812","A..lunicollis.Schiocke..1837","A..majuscula.Chaudoir..1850","A..ovata.E..1792","A.similata.Gyllenhal..1810","Anisodactylus.binotatus.F...1787","Bembidion.doris.Panzer..1797","B.guttula.F...1792","Blethisa.multipunctata.L...1758","Bradycellus.caucasicus.Chaudoir..1846","Calathus.erratus.Sahlberg..1827","C..micropterus.Duftschmid..1812","Carabus.hortensis.L...1758","C..nemoralis.Muller..1764","C..violaceus.L...1758","Clivina.fossor.L...1758","Cychrus.caraboides.L...1758","Cymindis.vaporariorum.L...1758","Dromius.fenestratus.F...1794","D..notatus.Stephens..1827","D..quadrimaculatus.L...1758","D..sigma.Rossi..1790","Dyschirius.globosus.Herbst..1784","Elaphrus.cupreus.Duftschmid..1812","Harpalus.latus.L...1758","H..quadripunctatus.Dejean..1829","H..rubripes.Duftschmid..1812","H..rufipes.Degeer..1774","Leistus.ferrugineus.L...1758","L..terminatus.Hellwig.in.Panzer..1793","Loricera.pilicornis.F...1775","Notiophilus.aestuans.Motschulsky..1864","N..aquaticus.L...1758","N..biguttatus.F...1779","N..germinyi.Fauvel..1863","Olisthopus.rotundatus.Paykull..1790","Patrobus.assimilis.Chaudoir..1844","P..atrorufus.Strom..1768","Platynus.obscurus.Paykull..1790","Pterostichus.cupreus.L...1758","P..diligens.Sturm..1824","P..melanarius.Illiger..1798","P..minor.Gyllenhal..1827","P..niger.Schaller..1783","P..nigrita.Paykull..1790","P..oblongopunctatus.F...1787","P..strenuus.Panzer..1797","P..versicolor.Sturm..1824","Synuchus.vivalis.Illiger..1798","Trichocellus.placidus.Gyllenhal..1827","Trechus.rivularis.Gyllenhal..1810","T..rubens.F...1792","T..secalis.Paykull..1790"
"island1",294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,47,1,0,0,51,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,252,0,70,0,5,0,1,315,7,18,0,0,0,0,13,0,46
"island10",1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,4,1,0,0,26,0,0,0,0,0,4,0,6,0,0,0,9,0,1,0,0,0,0,0,0,0,13,0,39,0,0,184,0,0,0,0,1,0,0,0,0
"island11",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,25,0,0,44,0,0,1,0,0,0,0,0,0
"island12",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,78,2,0,0,11,0,1,2,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"island13",0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,29,12,1,0,0,25,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,3,0,1,0,0,0,0,0,2,0,0,53,0,0,0,0,0,0,0,0,0
"island14",10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,140,82,4,0,0,82,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,0,94,0,13,0,10,0,0,563,0,0,3,0,0,1,0,0,60
"island15",171,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,37,63,0,0,0,91,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,74,0,8,0,0,450,0,65,5,0,0,0,0,0,114
"island16",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,18,2,0,1,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,0,23,0,0,93,33,0,1,0,0,0,0,0,0
"island17",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,103,0,10,1,0,0,0,0,0,0
"island18",4,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,36,16,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,5,0,2,0,0,8,0,2,2,0,0,0,0,0,0
"island19",41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,47,0,0,3,0,0,0,0,0,0
"island2",177,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,30,9,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,1,3,27,0,0,1,0,0,19,47,10,0,6,4,31,31,81,0,0,0,1,2,1,0,167
"island20",42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,91,27,2,0,0,38,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,52,0,62,0,29,0,0,372,4,0,12,0,0,0,0,1,0
"island21",4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,32,20,1,0,0,51,3,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,3,0,0,0,0,0,0,0,411,0,54,0,0,0,0,0,2,1
"island22",444,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,1,0,60,41,2,0,0,39,0,0,0,0,0,1,2,0,0,0,1,3,0,11,0,0,0,0,0,157,0,39,0,9,0,0,718,50,2,42,0,0,0,0,2,0
"island23",2,0,0,0,0,0,37,0,0,0,1,3,0,0,0,0,0,0,0,52,142,0,0,0,109,0,0,0,0,0,1,0,0,1,0,0,14,0,0,0,0,0,0,0,48,0,5,0,1,0,0,404,8,1,5,0,0,0,1,0,0
"island24",24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29,31,1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,21,0,32,0,5,0,8,141,76,0,10,1,0,0,0,0,0
"island3",1,0,0,0,0,8,0,27,3,15,0,9,1,0,1,47,0,0,0,25,75,4,0,3,14,0,0,0,0,0,0,0,8,2,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9,0,166,0,15,2,101,0,0,0,0,25
"island4",339,0,0,0,0,0,11,4,0,0,0,1,0,0,0,4,0,0,0,65,103,7,0,0,127,0,0,0,1,0,0,0,2,0,0,0,13,0,1,0,0,0,0,0,45,0,202,0,17,0,2,322,74,13,3,0,0,1,0,1,49
"island5",6,0,0,0,0,0,143,3,0,0,0,0,0,0,0,0,0,0,0,229,26,10,0,0,52,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,10,0,19,0,0,114,0,0,1,0,0,0,0,0,1
"island6",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,3,0,7,0,0,13,0,1,0,0,0,0,0,0,0
"island7",95,0,1,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,175,36,5,0,0,48,0,0,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,1,0,1,0,353,0,35,0,0,170,0,0,0,0,0,2,0,0,1
"island8",31,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,51,161,7,0,0,37,0,0,1,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,47,0,166,0,4,0,0,539,0,53,1,0,0,0,0,0,108
"island9",54,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,119,158,0,0,0,87,0,0,0,0,0,0,0,2,0,0,1,13,0,0,0,0,1,0,0,345,0,148,0,3,0,0,283,34,32,10,0,6,0,0,0,0
