"island_name","Cnemaspis_sp.","Coryphophylax_brevicaudus","Coryphophylax_subcristatus","Cyrtodactylus_rubidus","Eutropis_andamanensis","Hemidactylus_platyurus","Lygosoma_bowringii","Phelsuma_andamanensis","Sphenomorphus_maculatus"
"Alexandria",0,0,14,5,0,0,0,0,0
"Boat Island",0,0,1,1,0,0,0,0,0
"Chester Island",0,0,0,0,0,0,0,0,1
"Havelock",4,10,10,4,2,0,3,0,2
"Hobday Island",0,0,4,4,0,0,0,0,0
"Little Andaman",8,5,126,63,3,0,156,0,2
"Long Island",0,0,4,4,0,0,2,0,0
"Neil Island",0,1,8,13,2,0,30,0,0
"North Andaman",0,3,13,14,3,0,2,0,2
"Redskin",1,0,24,7,0,0,0,0,0
"Rutland",0,8,41,9,2,0,6,0,0
"Snob Island",0,0,0,4,0,0,0,0,0
"South Andaman",3,18,71,17,1,1,3,1,0
"Tarmugli",0,0,7,5,1,0,0,0,0
